,0
0,-1.615
1,-1.574113924050633
2,-1.5332278481012658
3,-1.4923417721518988
4,-1.4514556962025316
5,-1.4105696202531646
6,-1.3696835443037974
7,-1.3287974683544304
8,-1.2879113924050634
9,-1.2470253164556961
10,-1.2061392405063291
11,-1.1652531645569622
12,-1.124367088607595
13,-1.0834810126582277
14,-1.042594936708861
15,-1.0017088607594937
16,-0.9608227848101266
17,-0.9199367088607595
18,-0.8790506329113924
19,-0.8381645569620254
20,-0.7972784810126583
21,-0.7563924050632912
22,-0.7155063291139241
23,-0.674620253164557
24,-0.6337341772151899
25,-0.5928481012658229
26,-0.5519620253164557
27,-0.5110759493670887
28,-0.47018987341772167
29,-0.42930379746835445
30,-0.38841772151898746
31,-0.34753164556962024
32,-0.30664556962025324
33,-0.26575949367088625
34,-0.22487341772151903
35,-0.18398734177215204
36,-0.14310126582278482
37,-0.10221518987341782
38,-0.061329113924050827
39,-0.02044303797468361
40,0.020443037974683387
41,0.061329113924050604
42,0.1022151898734176
43,0.1431012658227846
44,0.1839873417721518
45,0.2248734177215188
46,0.265759493670886
47,0.306645569620253
48,0.34753164556962024
49,0.388417721518987
50,0.42930379746835423
51,0.47018987341772145
52,0.5110759493670887
53,0.5519620253164554
54,0.5928481012658227
55,0.6337341772151899
56,0.6746202531645566
57,0.7155063291139239
58,0.7563924050632911
59,0.7972784810126579
60,0.8381645569620251
61,0.8790506329113923
62,0.9199367088607595
63,0.9608227848101263
64,1.0017088607594935
65,1.0425949367088607
66,1.0834810126582275
67,1.1243670886075947
68,1.165253164556962
69,1.2061392405063291
70,1.247025316455696
71,1.2879113924050631
72,1.3287974683544304
73,1.3696835443037971
74,1.4105696202531643
75,1.4514556962025316
76,1.4923417721518983
77,1.5332278481012656
78,1.5741139240506328
79,1.615
